"","Year","Price","WinterRain","AGST","HarvestRain","Age","Quality"
"1",1952,7.71515356467602,600,17.1167,160,31,"GOOD"
"2",1953,7.87293687498887,690,16.7333,80,30,"GOOD"
"3",1955,7.67732764512615,502,17.15,130,28,"GOOD"
"4",1957,7.00335548600295,420,16.1333,110,26,"MEDIUM"
"5",1958,7.01993151114413,582,16.4167,187,25,"MEDIUM"
"6",1959,7.53932615632383,485,17.4833,187,24,"GOOD"
"7",1960,6.75766828791374,763,16.4167,290,23,"MEDIUM"
"8",1961,8.36319099947272,830,17.3333,38,22,"GOOD"
"9",1962,7.51318706726341,697,16.3,52,21,"GOOD"
"10",1963,6.63028303630794,608,15.7167,155,20,"MEDIUM"
"11",1964,7.5602931177291,402,17.2667,96,19,"GOOD"
"12",1965,5.91863324554773,602,15.3667,267,18,"POOR"
"13",1966,7.55530516362372,819,16.5333,86,17,"GOOD"
"14",1967,7.10919437971154,714,16.2333,118,16,"MEDIUM"
"15",1968,6.26214398724482,610,16.2,292,15,"POOR"
"16",1969,6.60372738003829,575,16.55,244,14,"MEDIUM"
"17",1970,7.31679441775835,622,16.6667,89,13,"MEDIUM"
"18",1971,7.18587835986919,551,16.7667,112,12,"MEDIUM"
"19",1972,5.88022722756065,536,14.9833,158,11,"POOR"
"20",1973,7.08827919904332,376,17.0667,123,10,"MEDIUM"
"21",1974,6.56948742463497,574,16.3,184,9,"MEDIUM"
"22",1975,6.98972160154956,572,16.95,171,8,"MEDIUM"
"23",1976,6.92337290441804,418,17.65,247,7,"MEDIUM"
"24",1977,6.71339660519491,821,15.5833,87,6,"MEDIUM"
"25",1978,6.9117843568559,763,15.8167,51,5,"MEDIUM"
